Date;Close
2019-11-04;52.85
2019-11-05;52.95
2019-11-06;54.4
2019-11-07;56.45
2019-11-08;56.55
2019-11-11;56.25
2019-11-12;55.55
2019-11-13;53.35
2019-11-14;55.15
2019-11-15;56.05
2019-11-18;57.4
2019-11-19;54.75
2019-11-20;56.35
2019-11-21;57.0
2019-11-22;57.7
2019-11-25;57.6
2019-11-26;58.55
2019-11-27;56.4
2019-11-28;55.45
2019-11-29;55.6
2019-12-02;54.8
2019-12-03;54.0
2019-12-04;56.35
2019-12-05;56.65
2019-12-06;55.65
2019-12-09;54.95
2019-12-10;54.35
2019-12-11;54.55
2019-12-12;55.05
2019-12-13;55.1
2019-12-16;55.4
2019-12-17;54.5
2019-12-18;53.05
2019-12-19;53.5
2019-12-20;54.45
2019-12-23;54.85
2019-12-27;55.1
2019-12-30;55.7
2020-01-02;55.45
2020-01-03;55.35
2020-01-06;55.25
2020-01-07;55.6
2020-01-08;56.0
2020-01-09;57.05
2020-01-10;56.0
2020-01-13;56.5
2020-01-14;55.9
2020-01-15;56.0
2020-01-16;55.8
2020-01-17;50.0
2020-01-20;53.9
2020-01-21;51.45
2020-01-22;50.9
2020-01-23;51.2
2020-01-24;53.2
2020-01-27;52.45
2020-01-28;53.95
2020-01-29;54.05
2020-01-30;53.55
2020-01-31;52.6
2020-02-03;52.8
2020-02-04;55.6
2020-02-05;56.0
2020-02-06;55.75
2020-02-07;54.3
2020-02-10;55.2
2020-02-11;58.15
2020-02-12;56.4
2020-02-13;56.7
2020-02-14;56.5
2020-02-17;57.2
2020-02-18;56.5
2020-02-19;57.25
2020-02-20;56.85
2020-02-21;54.45
2020-02-24;52.6
2020-02-25;50.5
2020-02-26;51.4
2020-02-27;51.5
2020-02-28;58.25
2020-03-02;58.4
2020-03-03;56.05
2020-03-04;52.8
2020-03-05;53.75
2020-03-06;54.3
2020-03-09;51.2
2020-03-10;50.6
2020-03-11;52.1
2020-03-12;50.0
2020-03-13;51.05
