Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;12,754;12,754;12,126;12,181;10;128
2020-03-26;11,906;12,345;11,906;12,345;161;1.970
2020-03-25;12,016;12,587;11,861;12,295;3.938;48.861
2020-03-24;11,09;11,557;11,09;11,557;597;6.893
2020-03-23;10,687;11,286;10,687;10,701;4.040;44.486
2020-03-20;11,516;11,80;11,035;11,035;9.768;114.359
2020-03-19;10,816;11,364;10,762;11,364;5.933;64.574
2020-03-18;10,839;11,20;10,745;10,745;3.750;40.936
2020-03-17;11,62;11,673;11,083;11,488;3.315;38.222
2020-03-16;11,47;11,47;10,594;11,019;6.613;72.992
2020-03-13;11,728;12,512;11,638;11,643;11.941;143.157
2020-03-12;12,50;12,691;11,364;11,364;4.365;53.382
2020-03-11;13,524;13,633;13,441;13,441;470;6.340
2020-03-10;13,032;13,965;13,032;13,604;2.237;29.214
2020-03-09;14,70;14,70;13,378;13,651;6.399;89.113
2020-03-06;15,108;15,108;14,679;14,849;350;5.138
2020-03-05;15,747;15,747;15,209;15,269;328;5.040
2020-03-04;15,358;15,572;15,346;15,489;100;1.554
2020-03-03;15,279;15,696;15,279;15,325;92;1.444
2020-03-02;15,291;15,399;14,949;15,279;21.757;332.519
2020-02-28;14,934;14,934;14,553;14,747;16.763;247.294
2020-02-27;15,871;16,045;15,307;15,73;6.278;99.230
2020-02-26;16,063;16,345;15,827;16,095;8.679;138.330
2020-02-25;16,671;16,671;16,325;16,325;494;8.159
2020-02-24;17,141;17,141;16,517;16,538;8.176;135.456
2020-02-21;17,271;17,445;17,232;17,232;5.027;86.688
2020-02-20;17,411;17,606;17,342;17,361;156;2.744
2020-02-19;17,341;17,588;17,341;17,475;746;13.087
2020-02-18;17,301;17,347;17,252;17,347;0;0
2020-02-17;17,412;17,427;17,381;17,392;0;0
2020-02-14;17,421;17,561;17,396;17,396;13;227
2020-02-13;17,418;17,426;17,253;17,418;1.665;28.766
2020-02-12;17,318;17,418;17,318;17,418;355;6.165
