Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-11-01;25,34;25,89;25,34;25,758;2.236;57.255
2019-10-31;25,778;25,82;25,282;25,332;7.983;202.520
2019-10-30;26,098;26,222;25,83;25,83;6.003;156.870
2019-10-29;26,05;26,258;25,932;26,258;1.552;40.358
2019-10-28;26,37;26,50;26,166;26,166;5.330;140.404
2019-10-25;26,176;26,40;26,126;26,296;7.209;188.882
2019-10-24;25,894;26,198;25,832;26,198;12.325;319.283
2019-10-23;25,306;25,616;25,086;25,616;988;24.992
2019-10-22;24,954;25,444;24,954;25,444;174;4.407
2019-10-21;25,132;25,132;24,776;24,902;3.745;93.009
2019-10-18;25,35;25,476;25,20;25,20;8.136;205.908
2019-10-17;25,156;25,20;24,958;24,958;4.445;111.609
2019-10-16;25,25;25,43;25,122;25,412;7.236;182.318
2019-10-15;25,34;25,504;25,098;25,396;3.387;85.963
2019-10-14;25,626;25,626;25,268;25,374;5.034;127.505
2019-10-11;25,78;25,848;25,438;25,784;6.538;168.080
2019-10-10;24,934;25,20;24,758;25,116;1.582;39.525
2019-10-09;24,976;25,368;24,976;25,368;3.769;94.809
2019-10-08;25,156;25,186;24,63;24,90;8.251;204.430
2019-10-07;24,954;25,39;24,954;25,34;4.837;122.587
2019-10-04;24,772;25,184;24,726;25,02;7.142;177.889
2019-10-02;25,514;25,514;24,57;24,57;16.941;423.403
2019-10-01;25,658;25,89;25,506;25,506;4.714;121.291
2019-09-30;26,118;26,118;25,92;25,92;3.571;93.168
2019-09-27;26,302;26,50;26,00;26,37;8.176;213.039





