Date;Close
2019-09-27;16.606
2019-09-30;16.512
2019-10-01;16.36
2019-10-02;15.864
2019-10-04;16.074
2019-10-07;16.194
2019-10-08;15.632
2019-10-09;15.912
2019-10-10;16.168
2019-10-11;16.878
2019-10-14;16.644
2019-10-15;16.992
2019-10-16;16.672
2019-10-17;16.464
2019-10-18;16.292
2019-10-21;16.96
2019-10-22;16.686
2019-10-23;16.55
2019-10-24;17.242
2019-10-25;17.582
2019-10-28;18.104
2019-10-29;18.008
2019-10-30;17.85
2019-10-31;17.378
2019-11-01;17.796
2019-11-04;18.358
2019-11-05;18.678
2019-11-06;18.54
2019-11-07;19.31
2019-11-08;18.836
2019-11-11;18.512
2019-11-12;19.656
2019-11-13;19.62
2019-11-14;19.41
2019-11-15;19.622
2019-11-18;19.454
2019-11-19;19.276
2019-11-20;19.144
2019-11-21;18.876
2019-11-22;19.186
2019-11-25;19.69
2019-11-26;19.756
2019-11-27;19.65
2019-11-28;19.45
2019-11-29;19.388
2019-12-02;19.07
2019-12-03;18.98
2019-12-04;19.254
2019-12-05;19.262
2019-12-06;20.04
2019-12-09;19.858
2019-12-10;19.878
2019-12-11;20.215
2019-12-12;20.70
2019-12-13;21.045
2019-12-16;21.02
2019-12-17;20.72
2019-12-18;20.44
2019-12-19;20.60
2019-12-20;20.43
2019-12-23;20.345
2019-12-27;20.34
2019-12-30;20.31
2020-01-02;20.685
2020-01-03;20.39
2020-01-06;20.045
2020-01-07;21.04
2020-01-08;21.31
2020-01-09;21.63
2020-01-10;21.42
2020-01-13;21.655
2020-01-14;21.34
2020-01-15;21.17
2020-01-16;21.175
2020-01-17;21.13
2020-01-20;21.14
2020-01-21;21.055
2020-01-22;21.35
2020-01-23;21.525
2020-01-24;22.005
2020-01-27;21.24
2020-01-28;20.93
2020-01-29;20.855
2020-01-30;20.36
2020-01-31;19.576
2020-02-03;19.512
2020-02-04;20.13
2020-02-05;22.26
2020-02-06;22.20
2020-02-07;21.965
2020-02-10;21.715
2020-02-11;22.155
2020-02-12;22.805
2020-02-13;22.855
2020-02-14;22.57
2020-02-17;22.22
2020-02-18;21.735
2020-02-19;22.185
2020-02-20;21.725
2020-02-21;21.10
2020-02-24;20.14
2020-02-25;20.34
2020-02-26;20.54
2020-02-27;19.512
2020-02-28;18.794
2020-03-02;18.616
2020-03-03;18.936
2020-03-04;18.908
2020-03-05;17.83
2020-03-06;16.858
2020-03-09;15.812
2020-03-10;15.992
2020-03-11;16.008
2020-03-12;13.712
2020-03-13;14.084
2020-03-16;12.604
2020-03-17;12.66
2020-03-18;10.678
2020-03-19;11.22
2020-03-20;11.474
2020-03-23;11.468
2020-03-24;13.07
2020-03-25;13.99
2020-03-26;14.374
2020-03-27;13.392
