Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-11-21;18,896;19,03;18,658;18,876;6.148.936;116.012.112
2019-11-20;19,05;19,26;18,85;19,144;5.661.378;108.068.520
2019-11-19;19,262;19,60;19,232;19,276;5.991.090;116.158.320
2019-11-18;19,598;19,664;19,196;19,454;6.025.036;117.312.688
2019-11-15;19,60;19,73;19,326;19,622;5.802.004;113.382.160
2019-11-14;19,496;19,658;19,396;19,41;4.737.437;92.345.520
2019-11-13;19,748;19,884;19,274;19,62;7.184.623;140.720.080
2019-11-12;19,80;19,968;19,342;19,656;15.914.734;313.360.608
2019-11-11;18,63;18,72;18,382;18,512;7.915.022;146.747.648
2019-11-08;19,128;19,182;18,558;18,836;9.298.245;175.020.352
2019-11-07;18,67;19,316;18,652;19,31;10.818.362;206.848.848
2019-11-06;18,63;18,894;18,462;18,54;5.928.475;110.524.936
2019-11-05;18,49;18,82;18,352;18,678;7.734.204;143.851.824
2019-11-04;18,10;18,484;18,062;18,358;6.811.013;124.833.352
2019-11-01;17,384;17,886;17,238;17,796;5.773.953;102.337.816
2019-10-31;18,008;18,008;17,216;17,378;7.974.316;139.471.840
2019-10-30;17,90;18,144;17,628;17,85;5.537.967;99.102.768
2019-10-29;18,136;18,386;17,908;18,008;6.962.747;126.069.736
2019-10-28;17,576;18,136;17,526;18,104;8.149.083;146.427.216
2019-10-25;17,294;17,582;17,194;17,582;6.856.388;119.709.536
2019-10-24;16,734;17,286;16,734;17,242;9.673.340;165.703.296
2019-10-23;16,19;16,55;15,978;16,55;11.496.399;187.717.248
2019-10-22;17,118;17,372;16,59;16,686;7.422.473;125.366.520
2019-10-21;16,30;17,09;16,254;16,96;7.901.021;133.055.744
2019-10-18;16,40;16,496;16,12;16,292;5.979.497;97.694.688
2019-10-17;16,648;17,006;16,464;16,464;8.549.652;142.156.640
2019-10-16;16,72;16,904;16,496;16,672;10.718.353;179.189.824
2019-10-15;16,82;17,184;16,692;16,992;7.207.928;121.967.400
2019-10-14;16,844;16,888;16,38;16,644;6.591.978;109.490.920
2019-10-11;16,172;16,94;16,15;16,878;10.464.846;174.711.104
2019-10-10;15,892;16,24;15,714;16,168;7.915.571;126.968.016
2019-10-09;15,60;16,028;15,522;15,912;7.162.609;113.714.872
2019-10-08;16,30;16,306;15,278;15,632;10.804.686;169.223.472
2019-10-07;16,046;16,31;15,87;16,194;6.520.193;105.258.896
2019-10-04;16,022;16,188;15,972;16,074;6.006.899;96.372.856
2019-10-02;16,338;16,368;15,838;15,864;7.565.813;120.901.080
2019-10-01;16,668;16,878;16,272;16,36;5.941.355;98.155.936
2019-09-30;16,494;16,538;16,214;16,512;4.808.980;78.959.376
2019-09-27;16,40;16,75;16,32;16,606;7.098.474;117.735.768





