Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;13,968;14,02;13,314;13,392;12.073.608;165.002.188
2020-03-26;13,494;14,418;13,33;14,374;13.003.337;182.124.219
2020-03-25;13,954;14,554;13,208;13,99;17.500.420;241.811.423
2020-03-24;12,972;13,344;12,502;13,07;20.113.081;260.337.838
2020-03-23;10,746;11,558;10,40;11,468;15.724.996;174.048.046
2020-03-20;11,788;12,30;11,33;11,474;19.027.002;223.525.903
2020-03-19;10,682;11,394;10,132;11,22;15.750.367;170.633.413
2020-03-18;12,124;12,124;10,552;10,678;15.177.421;169.840.930
2020-03-17;13,39;13,39;11,878;12,66;11.141.209;138.731.342
2020-03-16;13,052;13,318;11,29;12,604;20.857.238;254.920.361
2020-03-13;15,00;15,264;13,816;14,084;17.387.081;251.420.862
2020-03-12;14,866;15,008;13,684;13,712;18.979.719;271.704.100
2020-03-11;16,13;16,422;15,96;16,008;13.464.756;216.973.824
2020-03-10;16,718;16,876;15,922;15,992;17.035.790;278.794.696
2020-03-09;15,62;16,198;15,284;15,812;19.859.946;312.990.533
2020-03-06;17,16;17,658;16,808;16,858;18.360.557;312.789.629
2020-03-05;19,01;19,086;17,786;17,83;11.243.783;203.936.988
2020-03-04;19,11;19,32;18,744;18,908;8.329.895;158.479.593
2020-03-03;18,958;19,532;18,80;18,936;14.163.063;271.150.761
2020-03-02;19,42;19,494;17,664;18,616;18.152.307;333.832.819
2020-02-28;18,50;18,858;18,098;18,794;21.683.019;402.313.869
2020-02-27;20,20;20,20;19,026;19,512;15.554.480;303.836.826
2020-02-26;20,165;20,76;19,636;20,54;11.342.516;230.691.935
2020-02-25;20,615;20,84;20,075;20,34;11.691.491;239.037.170
2020-02-24;19,908;20,24;19,628;20,14;12.670.307;252.994.609
2020-02-21;21,325;21,695;20,825;21,10;7.604.416;161.582.064
2020-02-20;22,145;22,295;21,725;21,725;5.758.983;126.226.936
2020-02-19;22,005;22,305;21,785;22,185;4.986.070;110.164.528
2020-02-18;21,685;22,00;21,575;21,735;7.013.235;152.710.704
2020-02-17;22,595;22,74;22,105;22,22;4.086.947;91.468.328
2020-02-14;22,935;23,065;22,455;22,57;4.577.853;103.659.936
2020-02-13;22,60;22,96;22,325;22,855;7.318.630;166.747.376
2020-02-12;22,13;22,825;22,125;22,805;6.010.776;135.825.744
2020-02-11;22,045;22,23;21,725;22,155;6.439.334;141.730.944
2020-02-10;21,915;21,975;21,475;21,715;4.056.595;87.917.680
2020-02-07;22,00;22,24;21,74;21,965;5.538.832;121.632.840
2020-02-06;22,49;22,87;22,105;22,20;7.850.060;175.223.600
2020-02-05;21,71;22,53;21,475;22,26;17.561.638;383.935.968
2020-02-04;19,72;20,175;19,67;20,13;7.541.086;150.905.904
2020-02-03;19,63;19,78;19,382;19,512;7.225.330;141.417.280
2020-01-31;20,315;20,50;19,51;19,576;8.555.139;169.367.872
2020-01-30;20,36;20,73;20,195;20,36;6.197.748;126.587.296
2020-01-29;21,00;21,365;20,855;20,855;4.238.886;89.246.224
2020-01-28;21,335;21,395;20,53;20,93;6.610.137;137.910.416
2020-01-27;21,33;21,63;21,175;21,24;7.938.095;169.372.208
2020-01-24;21,94;22,10;21,745;22,005;6.524.558;143.350.736
2020-01-23;21,295;21,975;21,25;21,525;7.475.423;161.512.784
2020-01-22;21,205;21,385;21,035;21,35;4.852.943;103.184.512
2020-01-21;20,965;21,065;20,735;21,055;3.524.158;73.820.824
2020-01-20;21,145;21,33;21,105;21,14;2.036.821;43.183.204
2020-01-17;21,275;21,395;21,125;21,13;3.938.486;83.477.272
2020-01-16;21,45;21,51;21,125;21,175;3.218.569;68.428.560
2020-01-15;21,245;21,42;21,07;21,17;3.707.636;78.667.288
2020-01-14;21,65;21,73;21,305;21,34;4.982.420;106.778.008
2020-01-13;21,505;21,685;21,445;21,655;4.068.899;87.905.936
2020-01-10;21,745;21,77;21,42;21,42;3.456.501;74.472.000
2020-01-09;21,735;21,985;21,63;21,63;5.126.687;111.592.192
2020-01-08;20,845;21,575;20,705;21,31;7.033.333;149.480.992
2020-01-07;20,40;21,04;20,40;21,04;8.715.737;181.342.224
2020-01-06;20,00;20,085;19,424;20,045;6.488.522;128.511.944
2020-01-03;20,55;20,55;20,215;20,39;3.771.505;76.785.552
2020-01-02;20,205;20,89;20,185;20,685;4.204.646;86.858.376
2019-12-30;20,25;20,345;20,155;20,31;1.728.403;35.022.132
2019-12-27;20,35;20,52;20,265;20,34;2.614.855;53.280.860
2019-12-23;20,40;20,49;20,255;20,345;3.183.568;64.791.768
2019-12-20;20,53;20,78;20,38;20,43;8.179.466;167.674.480
2019-12-19;20,525;20,60;20,375;20,60;4.999.598;102.586.896
2019-12-18;20,65;20,705;20,335;20,44;4.569.234;93.525.296
2019-12-17;20,99;21,025;20,675;20,72;5.866.263;121.790.112
2019-12-16;21,185;21,27;20,775;21,02;5.205.608;109.259.552
2019-12-13;21,00;21,295;20,875;21,045;8.426.231;177.727.472
2019-12-12;20,34;20,885;20,33;20,70;8.621.355;178.075.344
2019-12-11;19,808;20,26;19,696;20,215;5.505.936;110.419.304
2019-12-10;19,894;20,08;19,498;19,878;6.742.045;133.513.880
2019-12-09;20,04;20,16;19,858;19,858;4.184.339;83.509.264
2019-12-06;19,47;20,04;19,408;20,04;6.388.901;126.937.776
2019-12-05;19,39;19,468;19,17;19,262;3.610.636;69.722.440
2019-12-04;19,10;19,444;19,05;19,254;4.741.257;91.469.624
2019-12-03;19,264;19,50;18,86;18,98;5.560.410;106.343.256
2019-12-02;19,43;19,58;18,984;19,07;6.296.908;121.097.696
2019-11-29;19,35;19,636;19,138;19,388;3.717.491;72.233.304
2019-11-28;19,60;19,60;19,396;19,45;3.101.632;60.443.196
2019-11-27;19,86;19,992;19,624;19,65;5.342.639;105.639.928
2019-11-26;19,75;19,85;19,644;19,756;7.723.824;152.573.008
2019-11-25;19,358;19,718;19,248;19,69;6.483.245;126.748.408
2019-11-22;18,866;19,296;18,788;19,186;6.613.416;126.641.984
