Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;11,68;11,954;11,528;11,702;19.980.194;234.409.940
2020-03-26;11,782;11,972;11,406;11,972;22.545.943;265.599.898
2020-03-25;12,312;12,348;11,342;11,99;25.924.784;307.081.819
2020-03-24;11,836;12,034;11,618;12,034;24.593.524;291.475.075
2020-03-23;11,724;12,016;11,43;11,462;26.546.345;308.407.091
2020-03-20;12,058;12,474;11,73;12,086;45.811.631;552.748.397
2020-03-19;10,954;11,794;10,824;11,538;31.606.779;358.119.261
2020-03-18;11,10;11,70;10,742;10,832;31.849.359;353.334.239
2020-03-17;11,328;11,67;10,502;11,442;28.947.423;322.017.748
2020-03-16;11,09;11,258;10,406;10,942;36.811.536;400.052.135
2020-03-13;11,996;12,394;11,32;11,52;32.959.263;385.980.023
2020-03-12;12,312;12,424;11,162;11,554;47.355.263;561.085.762
2020-03-11;13,20;13,452;12,87;12,932;25.851.639;339.568.790
2020-03-10;13,784;13,916;13,058;13,082;34.779.537;468.374.607
2020-03-09;14,038;14,136;13,62;13,662;36.334.539;501.632.782
2020-03-06;14,83;14,912;14,502;14,632;22.127.577;324.441.489
2020-03-05;15,104;15,152;14,826;14,974;14.853.864;222.211.434
2020-03-04;14,774;15,036;14,662;15,036;17.248.629;257.782.861
2020-03-03;14,95;15,08;14,704;14,766;24.369.814;363.251.246
2020-03-02;14,764;15,09;14,442;14,736;23.089.669;340.734.540
2020-02-28;14,98;15,146;14,56;14,756;36.292.177;536.660.983
2020-02-27;15,50;15,652;15,238;15,324;24.573.629;378.991.230
2020-02-26;15,804;15,848;15,486;15,736;19.234.654;301.814.041
2020-02-25;16,26;16,27;15,712;15,782;17.576.512;279.590.388
2020-02-24;16,234;16,396;16,088;16,16;17.975.950;290.752.682
2020-02-21;16,60;16,634;16,40;16,50;16.814.488;277.222.688
2020-02-20;16,55;16,748;16,486;16,626;13.116.257;218.456.992
2020-02-19;16,15;16,616;16,122;16,55;24.154.334;397.416.704
2020-02-18;15,59;15,91;15,58;15,89;11.333.575;179.346.608
2020-02-17;15,676;15,732;15,64;15,678;5.682.800;89.176.808
2020-02-14;15,534;15,692;15,534;15,63;8.102.383;126.662.608
2020-02-13;15,512;15,612;15,362;15,56;12.786.034;198.049.984
2020-02-12;15,454;15,648;15,438;15,612;14.988.169;233.475.632
2020-02-11;15,45;15,544;15,338;15,422;25.566.634;395.049.248
2020-02-10;14,934;14,944;14,804;14,864;5.854.479;87.014.640
2020-02-07;14,822;14,948;14,816;14,902;7.507.806;111.735.288
2020-02-06;14,748;14,946;14,72;14,848;7.640.151;113.534.536
2020-02-05;14,646;14,73;14,636;14,73;9.254.510;135.979.872
2020-02-04;14,684;14,736;14,632;14,674;8.422.039;123.562.496
2020-02-03;14,678;14,702;14,59;14,638;8.341.657;122.139.496
2020-01-31;14,676;14,764;14,59;14,606;11.378.907;166.546.480
2020-01-30;14,688;14,748;14,61;14,678;11.617.733;170.592.160
2020-01-29;14,868;14,944;14,818;14,858;7.517.399;111.809.584
2020-01-28;14,65;14,932;14,632;14,91;11.638.999;172.929.760
2020-01-27;14,726;14,778;14,562;14,564;9.635.192;140.823.904
2020-01-24;14,672;14,83;14,666;14,80;7.880.248;116.359.336
2020-01-23;14,848;14,848;14,66;14,668;9.570.257;140.849.888
2020-01-22;14,924;14,962;14,828;14,868;8.317.278;123.799.712
2020-01-21;14,708;14,852;14,67;14,832;8.318.716;122.902.848
2020-01-20;14,63;14,782;14,512;14,76;6.888.096;101.406.272
2020-01-17;14,718;14,744;14,65;14,68;9.930.537;145.830.784
2020-01-16;14,674;14,712;14,628;14,696;6.333.041;92.917.752
2020-01-15;14,668;14,71;14,582;14,68;7.501.201;109.904.720
2020-01-14;14,642;14,658;14,54;14,64;8.657.045;126.561.960
2020-01-13;14,82;14,824;14,624;14,652;8.384.403;123.112.224
2020-01-10;14,818;14,862;14,748;14,762;7.884.365;116.573.496
2020-01-09;14,61;14,876;14,606;14,85;14.510.060;215.028.160
2020-01-08;14,564;14,606;14,47;14,548;10.757.370;156.452.320
2020-01-07;14,576;14,722;14,574;14,606;9.646.934;141.005.040
2020-01-06;14,58;14,612;14,464;14,578;7.337.533;106.749.328
2020-01-03;14,57;14,628;14,518;14,614;9.232.877;134.602.944
2020-01-02;14,598;14,668;14,534;14,61;9.435.019;137.714.544
2019-12-30;14,732;14,746;14,57;14,57;5.774.093;84.359.400
2019-12-27;14,758;14,758;14,612;14,716;5.591.396;82.234.520
2019-12-23;14,756;14,79;14,674;14,72;8.469.794;124.629.960
2019-12-20;14,734;14,908;14,678;14,802;29.026.064;429.410.784
2019-12-19;14,786;14,804;14,596;14,734;14.128.543;207.779.648
2019-12-18;14,84;14,896;14,742;14,742;12.709.253;187.861.472
2019-12-17;14,864;14,968;14,828;14,86;10.182.614;151.609.648
2019-12-16;14,84;14,906;14,826;14,884;9.409.980;139.953.888
