Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;303,659;304,004;292,01;301,72;202;59.989
2020-03-26;294,082;308,056;291,959;308,056;316;94.310
2020-03-25;306,98;318,211;294,587;307,487;735;226.035
2020-03-24;273,165;300,00;273,165;297,572;733;208.925
2020-03-23;248,554;268,941;248,554;253,115;174;44.582
2020-03-20;259,266;275,415;255,028;255,028;922;243.610
2020-03-19;242,07;259,131;239,033;259,131;744;182.483
2020-03-18;255,575;257,627;240,00;240,00;581;146.397
2020-03-17;270,00;270,322;247,389;270,322;722;184.379
2020-03-16;266,112;274,174;249,161;257,294;1.986;524.923
2020-03-13;284,142;313,221;278,949;289,067;1.163;337.574
2020-03-12;306,00;315,544;282,01;291,513;1.314;399.614
2020-03-11;341,305;346,749;335,242;335,242;148;50.432
2020-03-10;354,551;359,00;335,379;343,282;562;197.034
2020-03-09;340,909;354,981;334,05;334,05;1.298;446.700
2020-03-06;387,479;387,479;375,50;379,531;442;168.682
2020-03-05;405,919;405,919;388,643;390,642;124;49.474
2020-03-04;393,626;405,035;393,626;403,315;119;47.548
2020-03-03;390,511;403,275;390,511;392,286;241;96.379
2020-03-02;393,418;397,28;375,917;391,591;832;325.030
2020-02-28;382,139;391,00;372,749;378,698;1.844;700.112
2020-02-27;406,10;412,369;393,146;404,338;520;209.091
2020-02-26;420,00;427,477;408,174;422,208;348;145.343
2020-02-25;435,352;438,302;422,804;422,804;318;136.477
2020-02-24;444,604;445,101;428,51;428,51;496;217.950
2020-02-21;458,506;459,456;455,00;458,805;51;23.214
2020-02-20;463,861;464,288;459,368;459,974;46;21.336
2020-02-19;460,901;464,069;459,58;464,069;4;1.856
2020-02-18;462,00;462,00;458,056;459,303;90;41.418
2020-02-17;463,581;464,234;463,00;463,00;28;12.980
2020-02-14;465,441;467,882;462,27;462,27;215;100.121
2020-02-13;465,961;465,989;457,879;465,961;239;110.818
2020-02-12;463,761;467,00;463,761;465,961;98;45.585
2020-02-11;461,749;461,749;458,834;461,201;46;21.147
2020-02-10;458,496;458,496;454,631;457,297;266;121.162
2020-02-07;460,828;460,828;456,361;458,791;6;2.740
2020-02-06;460,00;461,989;458,822;460,828;144;66.214
2020-02-05;446,736;457,52;445,792;456,789;34;15.485
2020-02-04;441,089;446,367;440,524;445,393;47;20.947
2020-02-03;434,899;437,999;434,899;437,962;3;1.305
2020-01-31;443,419;443,821;434,99;434,99;538;236.607
2020-01-30;443,40;445,045;443,00;443,00;0;0
2020-01-29;445,992;450,434;445,345;449,00;233;104.630
2020-01-28;444,011;449,333;443,814;445,428;276;123.014
2020-01-27;457,157;457,157;445,50;445,594;385;172.768
2020-01-24;453,226;459,902;453,226;455,724;10;4.599
2020-01-23;451,02;453,549;450,361;451,201;8;3.623
2020-01-22;459,95;459,95;452,851;454,08;88;40.088
2020-01-21;456,563;456,563;451,553;453,995;34;15.463
2020-01-20;457,259;457,259;451,641;454,231;174;78.985
2020-01-17;450,00;453,00;449,766;451,928;154;69.527
2020-01-16;446,669;449,00;445,851;448,781;51;22.894
2020-01-15;443,236;445,824;443,236;445,791;15;6.675
2020-01-14;443,767;447,001;443,767;445,27;7;3.106
2020-01-13;448,95;448,95;443,88;445,688;41;18.383
2020-01-10;445,61;447,561;444,126;444,765;60;26.810
2020-01-09;443,44;446,097;443,44;445,572;381;169.497
2020-01-08;433,869;442,514;433,647;441,74;48;21.156
2020-01-07;433,743;436,657;433,124;436,541;1;435
2020-01-06;430,60;433,734;425,988;431,345;59;25.273
2020-01-03;437,889;439,00;432,835;435,226;18;7.896
2020-01-02;435,343;441,799;435,128;441,335;271;119.071
2019-12-30;435,983;437,539;435,983;436,506;224;97.848
2019-12-27;438,00;440,00;437,113;437,952;119;52.234
2019-12-23;433,723;436,948;433,723;436,948;6;2.602
2019-12-20;431,138;435,984;431,138;435,984;147;63.377
2019-12-19;432,657;433,601;430,721;432,481;0;0
2019-12-18;434,295;436,501;433,241;433,241;39;16.979
2019-12-17;437,876;438,991;435,321;436,737;25;10.956
2019-12-16;434,586;439,217;434,586;439,086;194;84.588
2019-12-13;436,05;437,196;433,301;433,561;144;62.795
2019-12-12;427,278;431,322;426,675;430,758;53;22.737
2019-12-11;426,097;429,281;425,861;428,06;16;6.832
2019-12-10;426,687;428,503;422,241;426,647;46;19.550
2019-12-09;429,71;430,799;427,861;428,717;2;862
