Date;Close
2019-09-27;15.436
2019-09-30;15.578
2019-10-01;15.337
2019-10-02;14.893
2019-10-04;15.015
2019-10-07;15.198
2019-10-08;15.00
2019-10-09;15.022
2019-10-10;15.114
2019-10-11;15.445
2019-10-14;15.369
2019-10-15;15.58
2019-10-16;15.525
2019-10-17;15.509
2019-10-18;15.476
2019-10-21;15.603
2019-10-22;15.669
2019-10-23;15.672
2019-10-24;15.762
2019-10-25;15.794
2019-10-28;15.877
2019-10-29;15.88
2019-10-30;15.881
2019-10-31;15.82
2019-11-01;15.89
2019-11-04;15.959
2019-11-05;16.04
2019-11-06;16.144
2019-11-07;16.238
2019-11-08;16.253
2019-11-11;16.261
2019-11-12;16.335
2019-11-13;16.287
2019-11-14;16.21
2019-11-15;16.26
2019-11-18;16.302
2019-11-19;16.292
2019-11-20;16.142
2019-11-21;16.167
2019-11-22;16.24
2019-11-25;16.366
2019-11-26;16.404
2019-11-27;16.434
2019-11-28;16.422
2019-11-29;16.382
2019-12-02;16.09
2019-12-03;16.001
2019-12-04;16.129
2019-12-05;16.207
2019-12-06;16.339
2019-12-09;16.308
2019-12-10;16.261
2019-12-11;16.331
2019-12-12;16.368
2019-12-13;16.574
2019-12-16;16.82
2019-12-17;16.719
2019-12-18;16.679
2019-12-19;16.668
2019-12-20;16.867
2019-12-23;16.827
2019-12-27;16.835
2019-12-30;16.845
2020-01-02;16.902
2020-01-03;16.83
2020-01-06;16.842
2020-01-07;16.891
2020-01-08;17.038
2020-01-09;17.013
2020-01-10;17.004
2020-01-13;17.00
2020-01-14;17.059
2020-01-15;17.015
2020-01-16;17.081
2020-01-17;17.291
2020-01-20;17.231
2020-01-21;17.119
2020-01-22;17.106
2020-01-23;17.06
2020-01-24;17.107
2020-01-27;16.801
2020-01-28;16.884
2020-01-29;16.949
2020-01-30;16.781
2020-01-31;16.501
2020-02-03;16.607
2020-02-04;16.817
2020-02-05;17.157
2020-02-06;17.231
2020-02-07;17.212
2020-02-10;17.212
2020-02-11;17.318
2020-02-12;17.418
2020-02-13;17.418
2020-02-14;17.396
2020-02-17;17.392
2020-02-18;17.347
2020-02-19;17.475
2020-02-20;17.361
2020-02-21;17.232
2020-02-24;16.538
2020-02-25;16.325
2020-02-26;16.095
2020-02-27;15.73
2020-02-28;14.747
2020-03-02;15.279
2020-03-03;15.325
2020-03-04;15.489
2020-03-05;15.269
2020-03-06;14.849
2020-03-09;13.651
2020-03-10;13.604
2020-03-11;13.441
2020-03-12;11.364
2020-03-13;11.643
2020-03-16;11.019
2020-03-17;11.488
2020-03-18;10.745
2020-03-19;11.364
2020-03-20;11.035
2020-03-23;10.701
2020-03-24;11.557
2020-03-25;12.295
2020-03-26;12.345
2020-03-27;12.181
