Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;89,00;99,00;88,65;94,20;255.766;24.104.739
2020-03-26;77,50;88,70;77,50;88,65;236.404;19.827.806
2020-03-25;78,00;79,00;74,50;79,00;139.989;10.789.736
2020-03-24;76,50;78,95;74,60;77,50;144.125;11.110.204
2020-03-23;70,95;79,00;67,85;73,80;192.583;14.313.203
2020-03-20;68,95;73,15;63,45;68,60;115.157;7.972.576
2020-03-19;78,20;79,70;61,05;67,00;160.496;10.954.936
2020-03-18;77,35;81,95;73,35;77,75;133.593;10.490.349
2020-03-17;77,50;79,70;73,60;76,60;191.096;14.542.614
2020-03-16;71,00;97,40;67,95;70,10;444.864;34.225.141
2020-03-13;51,20;58,35;50,30;58,05;135.151;7.379.956
2020-03-12;50,00;53,20;49,34;50,00;63.836;3.237.222
2020-03-11;53,70;53,70;49,52;52,10;55.135;2.816.030
2020-03-10;54,65;54,65;50,20;50,60;50.405;2.624.495
2020-03-09;55,00;55,05;49,60;51,20;58.721;3.008.642
2020-03-06;54,00;55,80;52,45;54,30;55.440;3.011.680
2020-03-05;55,00;55,00;50,40;53,75;86.721;4.532.640
2020-03-04;55,95;55,95;51,85;52,80;51.844;2.756.348
2020-03-03;59,00;60,15;55,75;56,05;70.833;4.115.979
2020-03-02;65,45;67,05;56,95;58,40;198.138;12.159.031
2020-02-28;52,30;61,85;51,90;58,25;187.867;10.898.306
2020-02-27;51,10;53,80;50,40;51,50;49.100;2.541.646
2020-02-26;50,85;51,80;47,94;51,40;57.438;2.886.371
2020-02-25;54,00;54,10;50,35;50,50;29.402;1.508.714
2020-02-24;52,80;53,40;52,00;52,60;24.758;1.303.463
2020-02-21;56,90;56,90;54,45;54,45;27.885;1.544.383
2020-02-20;56,45;57,65;56,45;56,85;6.914;395.746
2020-02-19;55,95;57,65;55,95;57,25;19.303;1.101.910
2020-02-18;56,00;56,95;55,50;56,50;8.630;485.510
2020-02-17;57,25;58,30;56,20;57,20;11.843;680.666
2020-02-14;57,05;58,10;56,10;56,50;16.231;924.469
2020-02-13;56,35;56,80;55,50;56,70;23.446;1.319.270
2020-02-12;58,20;58,20;56,15;56,40;19.692;1.119.369
2020-02-11;55,20;59,10;55,20;58,15;32.363;1.864.706
2020-02-10;54,30;55,20;54,30;55,20;15.129;830.784
2020-02-07;56,10;56,30;54,15;54,30;12.215;670.710
2020-02-06;55,95;56,50;55,60;55,75;9.671;541.281
2020-02-05;55,50;56,35;55,50;56,00;16.731;935.491
