Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-10-17;46,5365;46,5365;46,5365;46,5365;;
2019-10-16;46,3967;46,3967;46,3967;46,3967;;
2019-10-15;46,4219;46,4219;46,4219;46,4219;;
2019-10-14;45,9708;45,9708;45,9708;45,9708;;
2019-10-11;46,0573;46,0573;46,0573;46,0573;;
2019-10-10;45,4378;45,4378;45,4378;45,4378;;
2019-10-09;45,1695;45,1695;45,1695;45,1695;;
2019-10-08;44,8764;44,8764;44,8764;44,8764;;
2019-10-07;45,4595;45,4595;45,4595;45,4595;;
2019-10-04;45,5033;45,5033;45,5033;45,5033;;
2019-10-03;45,0293;45,0293;45,0293;45,0293;;
2019-10-02;44,8135;44,8135;44,8135;44,8135;;
2019-10-01;45,5968;45,5968;45,5968;45,5968;;
2019-09-30;46,0508;46,0508;46,0508;46,0508;;
2019-09-27;45,9547;45,9547;45,9547;45,9547;;





